personid,age,sex
0,28,1
1,29,1
2,29,1
3,30,0
4,31,0
5,32,0
6,32,1
7,32,1
8,33,1
9,34,0
10,34,1
11,34,1
12,35,0
13,35,0
14,35,1
15,35,1
16,36,1
17,36,1
18,36,1
19,36,1
20,37,0
21,37,0
22,37,0
23,37,1
24,37,1
25,37,1
26,37,1
27,38,0
28,38,1
29,38,1
30,39,0
31,39,1
32,39,1
33,39,1
34,39,1
35,39,1
36,39,1
37,39,1
38,39,1
39,39,1
40,40,1
41,40,1
42,40,1
43,40,1
44,40,1
45,41,0
46,41,0
47,41,0
48,41,1
49,41,1
50,41,1
51,41,1
52,42,0
53,42,1
54,42,1
55,42,1
56,42,1
57,42,1
58,42,1
59,43,0
60,43,0
61,43,0
62,43,0
63,43,0
64,43,0
65,43,0
66,43,1
67,44,0
68,44,1
69,44,1
70,44,1
71,45,0
72,45,0
73,45,0
74,45,1
75,45,1
76,45,1
77,45,1
78,46,0
79,46,1
80,46,1
81,46,1
82,46,1
83,46,1
84,46,1
85,47,0
86,47,0
87,47,1
88,47,1
89,47,1
90,48,0
91,48,0
92,48,0
93,48,0
94,48,0
95,48,0
96,48,0
97,48,1
98,48,1
99,48,1
100,48,1
101,49,0
102,49,0
103,49,0
104,49,0
105,49,1
106,49,1
107,49,1
108,49,1
109,50,0
110,50,0
111,50,1
112,50,1
113,50,1
114,50,1
115,50,1
116,51,0
117,51,0
118,51,0
119,51,0
120,51,1
121,51,1
122,51,1
123,52,0
124,52,0
125,52,0
126,52,0
127,52,1
128,52,1
129,52,1
130,52,1
131,53,0
132,53,0
133,53,0
134,53,1
135,53,1
136,53,1
137,53,1
138,53,1
139,53,1
140,54,0
141,54,0
142,54,0
143,54,0
144,54,0
145,54,0
146,54,0
147,54,1
148,54,1
149,54,1
150,54,1
151,54,1
152,54,1
153,54,1
154,54,1
155,54,1
156,55,0
157,55,0
158,55,0
159,55,1
160,55,1
161,55,1
162,55,1
163,55,1
164,55,1
165,55,1
166,56,0
167,56,1
168,56,1
169,56,1
170,56,1
171,57,0
172,57,0
173,57,1
174,58,1
175,58,1
176,58,1
177,58,1
178,59,0
179,59,1
180,59,1
181,59,1
182,59,1
183,60,1
184,61,0
185,61,1
186,62,0
187,62,1
188,31,1
189,33,0
190,34,1
191,35,1
192,36,1
193,37,1
194,38,1
195,38,1
196,38,1
197,40,1
198,41,1
199,41,1
200,43,1
201,46,1
202,46,1
203,46,1
204,47,1
205,47,1
206,48,1
207,48,1
208,48,1
209,49,0
210,49,1
211,49,1
212,50,0
213,50,1
214,51,0
215,52,1
216,54,1
217,54,1
218,55,1
219,57,1
220,58,1
221,59,0
222,60,1
223,63,1
224,65,1
225,32,1
226,38,1
227,39,1
228,40,0
229,43,1
230,45,1
231,46,1
232,46,1
233,48,1
234,48,1
235,48,1
236,48,1
237,50,1
238,52,1
239,52,1
240,53,1
241,54,1
242,54,1
243,54,1
244,54,1
245,54,1
246,55,1
247,56,1
248,57,1
249,58,1
250,58,1
251,41,1
252,43,1
253,44,1
254,44,1
255,46,1
256,47,0
257,48,0
258,49,1
259,49,1
260,51,1
261,52,1
262,52,1
263,52,1
264,52,1
265,53,1
266,53,1
267,54,1
268,55,1
269,55,1
270,55,1
271,56,0
272,56,1
273,56,1
274,58,1
275,59,1
276,59,1
277,65,1
278,66,1
279,41,1
280,43,1
281,44,1
282,47,0
283,47,1
284,49,1
285,49,1
286,50,1
287,50,1
288,52,1
289,52,1
290,54,0
291,56,1
292,58,0
293,65,1
